identifier,lines
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",recovery. Private sector capex remains sluggish even though pre-conditions for its acceleration
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","have been engendered by increasing capacity utilisation, deleveraging of balance sheets and"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","improved profitability of corporates. Based on the early results, capacity utilisation in the"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",manufacturing sector increased to 68.8 per cent in Q2:2021-22 from 60.0 per cent in Q1:2021-
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","22. As corporates get ready to invest, congenial financial conditions need to be in place to"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",boost business sentiment.
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","66.     As regards inflation, headline CPI after moderating sharply in September to 4.3 per"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","cent, edged up in October to 4.5 per cent. On the domestic front, October saw unusually heavy"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","rains, which led to loss of kharif crops as well as delayed harvest. This resulted in a flare up of"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",vegetables prices. CPI fuel inflation continued to be in double digits with domestic LPG and
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",kerosene prices being raised in response to increase in international prices. These price
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",pressures in food and fuel resulted in a pick-up in CPI inflation in October despite large
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",favourable base effects. Core inflation remained elevated.
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","67.     Going forward, the heavy rainfalls in November are likely to keep vegetables prices"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","elevated in the near-term; however, prices thereafter are expected to register seasonal declines"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",on fresh winter arrivals. The recent supply side interventions by the Government would
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",continue to restrain the pass-through of elevated international edible oil prices to domestic retail
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",inflation. The outlook on cereals and pulses is also favourable with healthy progress of rabi
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",sowing. Retail selling prices of fuel eased somewhat in early November with reduction in
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","excise duty and VAT on petrol and diesel, which should lead to a durable reduction in inflation"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",through both direct and indirect effects. This should also be supported by the fall in
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","international crude oil prices observed towards end-November, albeit to the extent that it is"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","passed on to the retail pump prices. The revision in mobile tariffs, however, would be an"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","additional source of price pressures on core inflation from December 2021. Looking ahead,"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","inflation is expected to moderate to 5.0 per cent in H1 of next financial year, remaining well"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",within the tolerance band.
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","68.    We, however, need to remain vigilant to incipient cost-push pressures to inflation as"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","well as to the uncertainty imparted by Omicron. Its implication for inflation, going forward,"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","are two-fold. First, increase in restrictions, if any, on activity and commerce to stymie COVID-"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","19 spread could translate to continuing supply chain and logistics disruptions. Second, if the"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",13
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","Omicron variant results in the onset of new waves of infection globally, this could derail the"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","ongoing demand recovery. On the whole, at this stage it is too premature to gauge as to how"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",the effects of the Omicron variant would pan out in the weeks and months ahead in terms of its
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",effect on growth and inflation.
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","69.      To sum up, there is growing uncertainty regarding the evolving global macroeconomic"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","outlook. In the domestic front, even as the prospects for economic activity are improving, there"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",is still a slack with key drivers like private consumption remaining well below their pre-
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","pandemic levels. Given these uncertainties, continued policy support is warranted for a"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","durable, broad-based and self-sustaining rebound, especially to nurture revival in sectors which"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",are lagging and to safeguard those which are exposed to the evolving headwinds. In this
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","scenario, it would be prudent to watch out for growth signals becoming well entrenched while"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",remaining vigilant on inflation dynamics. There is also a necessity to have a firm understanding
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",of the impact of the Omicron variant. The calibration and timing of a monetary policy response
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",and preventing build-up of financial stability risks are very important in such an uncertain
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021","environment. Thus, I vote to keep the policy repo rate unchanged at 4 per cent and to continue"
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",with the same accommodative stance as spelt out by the MPC in its October 2021 meeting.
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",(Yogesh Dayal)
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",Press Release: 2021-2022/1402                                        Chief General Manager
"Minutes of the Monetary Policy Committee Meeting, December 6 to 8, 2021",14
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","2.     The meeting was attended by all the members – Dr. Shashanka Bhide, Senior"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","Advisor, National Council of Applied Economic Research, Delhi; Dr. Ashima Goyal,"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","Emeritus Professor, Indira Gandhi Institute of Development Research, Mumbai; Prof."
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","Jayanth R. Varma, Professor, Indian Institute of Management, Ahmedabad; Dr."
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","Mridul K. Saggar, Executive Director (the officer of the Reserve Bank nominated by"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","the Central Board under Section 45ZB(2)(c) of the Reserve Bank of India Act, 1934);"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","Dr. Michael Debabrata Patra, Deputy Governor in charge of monetary policy – and"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","was chaired by Shri Shaktikanta Das, Governor. This was the first face to face"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",meeting of the MPC after February 2020.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","3.      According to Section 45ZL of the Reserve Bank of India Act, 1934, the"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","Reserve Bank shall publish, on the fourteenth day after every meeting of the"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","Monetary Policy Committee, the minutes of the proceedings of the meeting which"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","shall include the following, namely:"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",(a) the resolution adopted at the meeting of the Monetary Policy Committee;
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","(b) the vote of each member of the Monetary Policy Committee, ascribed to such"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","member, on the resolution adopted in the said meeting; and"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",(c) the statement of each member of the Monetary Policy Committee under sub-
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",section (11) of section 45ZI on the resolution adopted in the said meeting.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",4.      The MPC reviewed the surveys conducted by the Reserve Bank to gauge
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","consumer confidence, households’ inflation expectations, corporate sector"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","performance, credit conditions, the outlook for the industrial, services and"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","infrastructure sectors, and the projections of professional forecasters. The MPC also"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","reviewed in detail staff’s macroeconomic projections, and alternative scenarios"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",around various risks to the outlook. Drawing on the above and after extensive
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","discussions on the stance of monetary policy, the MPC adopted the resolution that is"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",set out below.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Resolution
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",5.      On the basis of an assessment of the current and evolving macroeconomic
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","situation, the Monetary Policy Committee (MPC) at its meeting today (October 8,"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",2021) decided to:
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",•    keep the policy repo rate under the liquidity adjustment facility (LAF)
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",unchanged at 4.0 per cent.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",The reverse repo rate under the LAF remains unchanged at 3.35 per cent and the
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",marginal standing facility (MSF) rate and the Bank Rate at 4.25 per cent.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",•   The MPC also decided to continue with the accommodative stance as
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",long as necessary to revive and sustain growth on a durable basis and
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","continue to mitigate the impact of COVID-19 on the economy, while"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",ensuring that inflation remains within the target going forward.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",These decisions are in consonance with the objective of achieving the medium-
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",term target for consumer price index (CPI) inflation of 4 per cent within a band of
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","+/- 2 per cent, while supporting growth."
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",The main considerations underlying the decision are set out in the statement below.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Assessment
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Global Economy
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","6.     Since the MPC’s meeting during August 4-6, 2021, the momentum of the"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",global recovery has ebbed across geographies with the rapid spread of the delta
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","variant of COVID-19, including in some countries with relatively high vaccination"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","rates. After sliding to a seven-month low in August, the global purchasing managers’"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",index (PMI) rose marginally in September. World merchandise trade volumes
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","remained resilient in Q2:2021, but more recently there has been a loss of momentum"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",with the persistence of supply and logistics bottlenecks.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","7.      Commodity prices remain elevated, and consequently, inflationary pressures"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",have accentuated in most advanced economies (AEs) and emerging market
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","economies (EMEs), prompting monetary tightening by a few central banks in the"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","former group and several in the latter. Change in monetary policy stances, in"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",conjunction with a likely tapering of bond purchases in major advanced economies
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","later this year, is beginning to strain the international financial markets with a sharp"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",rise in bond yields in major AEs and EMEs after remaining range-bound in August.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","The US dollar has strengthened sharply, while the EME currencies have weakened"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",since early-September with capital outflows in recent weeks.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Domestic Economy
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","8.     On the domestic front, real gross domestic product (GDP) expanded by 20.1"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",per cent year-on-year (y-o-y) during Q1:2021-22 on a large favourable base;
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","however, its momentum was dragged down by the second wave of the pandemic."
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",The level of real GDP in Q1:2021-22 was 9.2 per cent below its pre-pandemic level
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","two years ago. On the demand side, almost all the constituents of GDP posted robust"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","y-o-y growth. On the supply side, real gross value added (GVA) increased by 18.8"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",per cent y-o-y during Q1:2021-22.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","9.       The rebound in economic activity gained traction in August-September,"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","facilitated by the ebbing of infections, easing of restrictions and a sharp pick-up in the"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","pace of vaccination. The south-west monsoon, after a lull in August, picked up in"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","September, narrowing the deficit in the cumulative seasonal rainfall to 0.7 per cent"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",below the long period average and kharif sowing exceeded the previous year’s level.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Record kharif foodgrains production of 150.5 million tonnes as per the first advance
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","estimates augurs well for the overall agricultural sector. By end-September, reservoir"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","levels at 80 per cent of the full reservoir level were above the decadal average, which"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",is expected to boost rabi production prospects.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","10.     After a prolonged slowdown, industrial production posted a high y-o-y growth"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",for the fifth consecutive month in July. The manufacturing PMI at 53.7 in September
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",remained in positive territory. Services activity gained ground with support from the
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",pent-up demand for contact-intensive activities. The services PMI continued in
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","expansion zone in September at 55.2, although some sub-components"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",moderated. High-frequency indicators for August-September – railway freight traffic;
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",cement production; electricity demand; port cargo; e-way bills; GST and toll
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",collections – suggest progress in the normalisation of economic activity relative to
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","pre-pandemic levels; however, indicators such as domestic air traffic, two-wheeler"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",sales and steel consumption continue to lag. Non-oil export growth remained strong
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",on buoyant external demand.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",11.   Headline CPI inflation at 5.3 per cent in August softened for the second
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","consecutive month, declining by one percentage point from the recent peak in May-"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",June 2021. This was primarily driven by an easing in food inflation. Fuel inflation
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","edged up to a new high in August. Core inflation, i.e. inflation excluding food and fuel,"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",remained elevated and sticky at 5.8 per cent in July-August 2021.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","12.     System liquidity remained in large surplus in August-September, with daily"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",absorptions rising from an average of ₹7.7 lakh crore in July-August to ₹9.0 lakh
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",crore during September and ₹9.5 lakh crore during October (up to October 6) through
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","the fixed rate reverse repo, the 14-day variable rate reverse repo (VRRR) and fine-"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",tuning operations under the liquidity adjustment facility (LAF). Auctions of ₹1.2 lakh
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",crore under the secondary market government securities acquisition programme (G-
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",SAP 2.0) during Q2:2021-22 provided liquidity across the term structure. As on
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","October 1, 2021, reserve money (adjusted for the first-round impact of the change in"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",the cash reserve ratio) expanded by 8.3 per cent (y-o-y); money supply (M3) and
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","bank credit grew by 9.3 per cent and 6.7 per cent, respectively, as on September 24,"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",2021. India’s foreign exchange reserves increased by US$ 60.5 billion in 2021-22 (up
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","to October 1) to US$ 637.5 billion, partly reflecting the allocation of special drawing"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","rights (SDRs), and were close to 14 months of projected imports for 2021-22."
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Outlook
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","13.      Going forward, the inflation trajectory is set to edge down during Q3:2021-22,"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",drawing comfort from the recent catch-up in kharif sowing and likely record
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","production. Along with adequate buffer stock of foodgrains, these factors should help"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","to keep cereal prices range bound. Vegetable prices, a major source of inflation"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","volatility, have remained contained in the year so far and are likely to remain soft,"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",assuming no disruption due to unseasonal rains. Supply side interventions by the
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Government in the case of pulses and edible oils are helping to bridge the demand
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",supply gap; the situation is expected to improve with kharif harvest arrivals. The
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","resurgence of edible oils prices in the recent period, however, is a cause of concern."
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","On the other hand, pressures persist from crude oil prices which remain volatile over"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",uncertainties on the global supply and demand conditions. Domestic pump prices
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","remain at very high levels. Rising metals and energy prices, acute shortage of key"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",industrial components and high logistics costs are adding to input cost pressures.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","Weak demand conditions, however, are tempering the pass-through to output prices."
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","The CPI headline momentum is moderating with the easing of food prices which,"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","combined with favourable base effects, could bring about a substantial softening in"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","inflation in the near-term. Taking into consideration all these factors, CPI inflation is"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","projected at 5.3 per cent for 2021-22; 5.1 per cent in Q2, 4.5 per cent in Q3; 5.8 per"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","cent in Q4 of 2021-22, with risks broadly balanced. CPI inflation for Q1:2022-23 is"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",projected at 5.2 per cent (Chart 1).
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",14.     Domestic economic activity is gaining traction with the ebbing of the second
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","wave. Going forward, rural demand is likely to maintain its buoyancy, given the above"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",normal kharif sowing while rabi prospects are bright. The substantial acceleration in
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","the pace of vaccination, the sustained lowering of new infections and the coming"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",festival season should support a rebound in the pent-up demand for contact intensive
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","services, strengthen the demand for non-contact intensive services, and bolster"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",urban demand. Monetary and financial conditions remain easy and supportive of
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","growth. Capacity utilisation is improving, while the business outlook and consumer"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",confidence are reviving. The broad-based reforms by the government focusing on
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","infrastructure development, asset monetisation, taxation, telecom sector and banking"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","sector should boost investor confidence, enhance capacity expansion and facilitate"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",crowding in of private investment. The production-linked incentive (PLI) scheme
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",augurs well for domestic manufacturing and exports. Global semiconductor
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","shortages, elevated commodity prices and input costs, and potential global financial"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","market volatility are key downside risks to domestic growth prospects, along with"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",uncertainty around the future COVID-19 trajectory. Taking all these factors into
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","consideration, projection for real GDP growth is retained at 9.5 per cent in 2021-22"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",consisting of 7.9 per cent in Q2; 6.8 per cent in Q3; and 6.1 per cent in Q4 of 2021-
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",22. Real GDP growth for Q1:2022-23 is projected at 17.2 per cent (Chart 2).
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",15.    Inflation prints in July-August were lower than anticipated. With core inflation
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","persisting at an elevated level, measures to further ameliorate supply side and cost"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","pressures, including through calibrated cuts in indirect taxes on petrol and diesel by"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","both Centre and States, would contribute to a more durable reduction in inflation and"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",anchoring of inflation expectations. The outlook for aggregate demand is
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",progressively improving but the slack is large: output is still below pre-COVID level
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",and the recovery is uneven and critically dependent upon policy support. Compared
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","to pre-pandemic levels, contact intensive services, which contribute around two-fifth"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","of economic activity in India, still lag considerably. Capacity utilisation in the"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",manufacturing sector is below its pre-pandemic levels and an early recovery to its
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",long-run average is critical for a sustained rebound in investment demand. Even as
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","the domestic economy is showing signs of mending, the external environment is"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","turning more uncertain and challenging, with headwinds from slowing growth in some"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","major Asian and advanced economies, steep jump in natural gas prices in the recent"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",weeks and concerns emanating from normalisation of monetary policy in some major
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","advanced economies. Against this backdrop, the ongoing domestic recovery needs"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",to be nurtured assiduously through all policy channels. The MPC will remain watchful
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","given the uncertainties surrounding the outlook for growth and inflation. Accordingly,"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","keeping in mind the evolving situation, the MPC decided to keep the policy repo rate"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",unchanged at 4 per cent and continue with an accommodative stance as long as
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",necessary to revive and sustain growth on a durable basis and continue to mitigate
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","the impact of COVID-19 on the economy, while ensuring that inflation remains within"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",the target going forward.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","16.   All members of the MPC – Dr. Shashanka Bhide, Dr. Ashima Goyal, Prof."
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","Jayanth R. Varma, Dr. Mridul K. Saggar, Dr. Michael Debabrata Patra and Shri"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",Shaktikanta Das – unanimously voted to keep the policy repo rate unchanged at 4.0
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",per cent.
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","17.    All members, namely, Dr. Shashanka Bhide, Dr. Ashima Goyal, Dr. Mridul K."
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","Saggar, Dr. Michael Debabrata Patra and Shri Shaktikanta Das, except Prof. Jayanth"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","R. Varma, voted to continue with the accommodative stance as long as necessary to"
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021",revive and sustain growth on a durable basis and continue to mitigate the impact of
"Minutes of the Monetary Policy Committee Meeting, October 6 to 8, 2021","COVID-19 on the economy, while ensuring that inflation remains within the target"
