"","identifier","lines"
"25729","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Q2:2019-20 compared to Q1. The Business Assessment Index (a composite of"
"25730","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","demand indicator), based on the RBI’s Industrial Outlook Survey for the"
"25731","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","manufacturing sector, remained in the contractionary zone for Q3:2019-20. At the"
"25732","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","same time, the Business Expectations Index shows prospects of improvement for"
"25733","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Q4. According to RBI’s Consumer Confidence Survey, the Current Situation Index fell"
"25734","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","to a new low in January 2020 due to weaker sentiment on general economic"
"25735","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","situation, price level and household income. On the other hand, the Future"
"25736","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Expectations Index witnessed a marginal uptick due to improved outlook on"
"25737","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","employment and prices. Meanwhile, the Manufacturing Purchasing Managers’ Index"
"25738","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","increased from 51.2 in November to 55.3 in January 2020, reflecting an increase in"
"25739","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","new orders and output. The PMI Services Index also picked up during this period. A"
"25740","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","few high frequency indicators are also showing signs of revival, such as tractor sales,"
"25741","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","three-wheeler sales, railway freight traffic and domestic air passenger traffic."
"25742","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","57.     Thus, there are some signs of a modest revival, although overall economic"
"25743","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","activity continues to remain weak. While the focus of the Union Budget is on"
"25744","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","sustainable growth within a framework of fiscal consolidation, it may provide some"
"25745","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","impetus to growth through the incremental rationalisation in personal taxes, focus on"
"25746","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","infrastructure and rural spending, emphasis on raising competitiveness in"
"25747","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","manufacturing and enhancing the overall ease of doing business. However, the full"
"25748","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","impact of these measures may percolate slowly to the economy with possibly only a"
"25749","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","small effect visible in the short-run."
"25750","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","58.     Flow of credit to the commercial sector, that remained tepid till the MPC met"
"25751","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","last in December, picked up in the last two months. This should nurture growth"
"25752","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","impulses. The increase in the monetary transmission of the cumulative reduction in"
"25753","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","the policy repo rate by 135 basis points from February to October 2019 should also"
"25754","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","help in reviving economic activity. The weighted average lending rate (WALR) on"
"25755","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","fresh rupee loans sanctioned by banks fell by 69 basis points from February to"
"25756","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","December 2019 (implying an additional 25 basis points in November and December)."
"25757","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Since the introduction of the external benchmarking system, many banks have linked"
"25758","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","their lending rates for housing, personal and micro and small enterprises (MSEs) to"
"25759","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","the policy repo rate. From October to December 2019, the WALRs of public and"
"25760","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","private sector banks on fresh rupee loans fell by 18, 87 and 23 basis points for"
"25761","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","housing loans, vehicle loans, and loans to MSMEs, respectively. Thus, the external"
"25762","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","benchmarking system has improved the extent of transmission, although there is still"
"25763","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","scope for more."
"25764","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","59.    Moving on to the international front, some signs of a cyclical upturn in global"
"25765","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","industrial growth are in sight. On the verge of the coronavirus outbreak, growth in the"
"25766","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Economic Cycle Research Institute’s (ECRI’s) 21-Country Long Leading Index, a"
"25767","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","harbinger of global economic activity, entered a mild cyclical upturn consistent with"
"25768","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","global growth prospects posting patchy progress. Meanwhile, a nascent upswing in"
"25769","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","global industrial growth had already begun, following a modest upturn in the growth"
"25770","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","rate of ECRI’s Global Leading Manufacturing Index. In that context, it is notable that"
"25771","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","the coronavirus epidemic is not yet tipping global industrial growth into a fresh"
"25772","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","cyclical downturn. However, this has to be monitored closely to gauge the possible"
"25773","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","impact of the epidemic on global growth."
"25774","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","60.    Aligned with the improvement in global growth prospects, growth in ECRI’s"
"25775","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Indian Leading Exports Index, a predictor of Indian exports growth, has increased"
"25776","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25777","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","                                           12"
"25778","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25779","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","recently, anticipating a revival in Indian exports growth, which has dropped to a multi-"
"25780","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","year low. This bodes well for India’s exports, but has to be tracked closely in light of"
"25781","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","the recent epidemic. Therefore, as of now, it is not clear if economic growth in India"
"25782","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","can get a boost from global growth."
"25783","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","61.     Thus, to address growth in the economy, there is merit in adopting a wait-and-"
"25784","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","watch approach. This will allow for the pending monetary transmission to be realised"
"25785","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","in the near future. Further, measures already undertaken by the government to"
"25786","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","address the growth slowdown are expected to play out, including the fiscal stimulus"
"25787","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","in the form of a major overhaul in corporate income tax aimed at reducing the overall"
"25788","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","tax burden on corporates and, in turn, improving India's global competitiveness."
"25789","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Moreover, growth initiatives announced in the Union Budget are also expected to pan"
"25790","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","out slowly. Additionally, the impact of global growth on the domestic economy would"
"25791","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","have to be examined in light of the recent epidemic."
"25792","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","62.    At the same time, while growth is slowing, headline inflation has increased"
"25793","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","beyond the upper tolerance band and is expected to remain at elevated levels (5% or"
"25794","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","above) through Q2:2020-21. At this juncture, it is, therefore, best to monitor incoming"
"25795","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","data on both inflation and growth, given the evolving inflation-growth dynamics. I,"
"25796","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","therefore, vote to keep the policy rate unchanged and continue with the"
"25797","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","accommodative stance."
"25798","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25799","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25800","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Statement by Dr. Ravindra H. Dholakia"
"25801","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","63.     Since the last meeting of MPC in December 2019, several major events have"
"25802","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","occurred and new data is available. Greater clarity has emerged on several"
"25803","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","uncertainties perceived at that time, though some new uncertainties have arisen and"
"25804","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","assumed more importance. The latest two readings of monthly headline inflation for"
"25805","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","November and December 2019 have been significantly above the RBI forecast"
"25806","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","largely on account of the spikes in onion prices. While this is transitory and in all"
"25807","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","likelihood would reverse soon, it is most likely to lead to a breach of upper tolerance"
"25808","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","limit for the headline inflation for a quarter for the first time since the MPC is"
"25809","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","functioning. Given the high Rabi sowing, record level of water storage in reservoirs,"
"25810","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","prolonged growth slowdown leading to expanding negative output gap, favourable"
"25811","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","base effects and some international developments, the headline CPI inflation going"
"25812","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","forward is expected to show a declining trend for at least a year to come. Some new"
"25813","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","uncertainties have, however, emerged that could need some policy space for future."
"25814","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Moreover, the Union Budget for 2020-21, in my opinion, has presented a fiscal policy"
"25815","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","of the Centre that borders on being contractionary rather than expansionary on"
"25816","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","misplaced concerns about fiscal slippage in the face of a serious growth slow-down."
"25817","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Under such circumstances, in my view, the monetary policy should preserve policy"
"25818","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","space for any rate action at an appropriate time. I, therefore, vote to maintain status"
"25819","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","quo on both the policy repo-rate and the accommodative stance in this meeting. More"
"25820","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","specific reasons for my vote are as follows –"
"25821","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020"," i)   Uncertainty regarding food and vegetable prices during the last meeting of the"
"25822","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","      MPC has reduced and it is getting clear that these prices would gradually come"
"25823","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","      down to their original level over the next two – three quarters. Fuel prices rising"
"25824","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","      substantially in the short term is hardly a risk given the international"
"25825","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","      developments. Union Budget for 2020-21 has been presented with no major"
"25826","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","      impact on both growth and inflation in my opinion. As a result, there is no risk of"
"25827","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","      output gap closing rapidly in the short to medium term. Global growth slow-"
"25828","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","      down is confirmed by now."
"25829","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25830","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","                                            13"
"25831","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25832","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","ii)    New uncertainties have emerged from the likely spread of Coronavirus and its"
"25833","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       impact through trade and fuel prices. It can lead to sharp swings in fuel prices"
"25834","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       in both the directions over time. Run up to the US Presidential elections and its"
"25835","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       possible impact on the geopolitics can have substantial impact on the global"
"25836","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       economic environment. The response of various State Governments to the"
"25837","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       Union Budget 2020-21 in terms of their own budgets is a major uncertainty"
"25838","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       deciding almost the other half of the fiscal policy for the country."
"25839","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","iii)   Inflationary expectations of the households for 12 months ahead as revealed in"
"25840","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       the most recent RBI survey have declined by 70 bps compared to the previous"
"25841","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       round. This is, however, contradicted by an increase of 40 bps in the headline"
"25842","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       CPI inflation expectation by the businesses as revealed by the IIMA surveys."
"25843","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       Thus, the picture is ambiguous on recent trends in inflationary expectations in"
"25844","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       the economy. RBI’s own assessment about the inflation forecast four quarters"
"25845","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       down is 3.2%. Thus, although there is uncertainty, some policy space for the"
"25846","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       rate action does exist."
"25847","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","iv)    The numbers presented in the Union Budget 2020-21 show that the fiscal"
"25848","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       slippage of 41 bps in the fiscal deficit to GDP ratio from the budgeted 3.34% in"
"25849","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       2019-20 is accounted for by 36 bps due to cyclical factors and by only 5 bps of"
"25850","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       the genuine fiscal slippage. In a year of a serious growth slow-down, such an"
"25851","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       adherence to “fiscal discipline” not only shows misplaced emphasis and"
"25852","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       unjustified concerns but also a contractionary fiscal policy. The budgeted"
"25853","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       numbers for 2020-21 also continue along the same line and depict a"
"25854","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       contractionary fiscal policy. It is pro-cyclical rather than counter-cyclical."
"25855","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       Moreover, the proportion of revenue deficit in the fiscal deficit in the budget for"
"25856","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       2020-21 shows a substantial increase over 2019-20 (RE) that may not help"
"25857","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       crowding-in of the private investment. Immediate growth recovery may not be"
"25858","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       aided by the Union budget 2020-21."
"25859","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","v)     The growth slowdown may, therefore, be prolonged and the real growth may"
"25860","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       remain below 7.5% of the long-term trend for the next couple of years leading"
"25861","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       the negative output gap to expand. This is consistent with the capacity"
"25862","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       utilization rate of less than 70% presently observed in the RBI surveys. Thus,"
"25863","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       there would be downward pressure on the core inflation in the next few"
"25864","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       quarters."
"25865","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","vi)    Real rates of interest and policy rates globally are very low and negative in"
"25866","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       several comparator counties. Our real rates are high. Transmission of the past"
"25867","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       rate cuts is improving of late, which would continue to provide corrections to the"
"25868","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","       real rates."
"25869","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","64.     There is a definite space for policy rate action in the light of the above"
"25870","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","arguments. The question is – is this the right time? We need to wait for the other half"
"25871","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","of the fiscal policy given by the budgets of the States. While monetary policy is"
"25872","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","important for short run revival of aggregate demand, the long-term growth revival"
"25873","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","depends critically on the fiscal policy and structural reforms. When the long run"
"25874","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","revival is not seriously attempted, any substantial recovery in the short run is also"
"25875","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","likely to be elusive and the monetary policy stimulus that works only indirectly and"
"25876","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","with lags is also likely to be less effective. Under such circumstances, I would like to"
"25877","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","continue with status quo on both the policy repo-rate and the accommodative stance."
"25878","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25879","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","                                           14"
"25880","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25881","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Statement by Dr. Janak Raj"
"25882","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","65.     Headline inflation surged during last three months, driven mainly by an"
"25883","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","unprecedented spike in onion prices. Non-vegetable food prices such as pulses, milk,"
"25884","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","eggs, fish and meat also rose significantly, driven mainly by a shortfall in production"
"25885","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","due to unseasonal rains and a rise in input costs. While onion prices have already"
"25886","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","started reversing due to late kharif arrivals, the reversal is likely to be more"
"25887","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","pronounced once the rabi season harvest hits mandis in early March. However, the"
"25888","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","increase in inflation in non-vegetable food items is more likely to be sustained. Given"
"25889","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","this broad-based increase in food prices, there is a lot of uncertainty as to the level at"
"25890","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","which food inflation will stabilise even as onion prices normalise completely. Food"
"25891","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","inflation, therefore, needs a careful monitoring."
"25892","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","66.     Inflation excluding food and fuel accelerated in recent months, driven mainly"
"25893","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","by cost push shocks such as increase in mobile phone charges. Rising input costs"
"25894","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","have transmitted to output prices, though weak pricing power of corporates due to"
"25895","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","deficient demand has limited its pass-through. Global commodity prices, especially of"
"25896","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","crude oil and metals, also declined sharply towards end-January in anticipation of"
"25897","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","slowdown in global demand due to the outbreak of coronavirus. This may help"
"25898","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","mitigate some of the input price pressures witnessed in the recent period. Though"
"25899","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","inflation expectations of households have moderated in the January 2020 round of"
"25900","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","the Reserve Bank’s survey, they are still elevated. Headline inflation is projected to"
"25901","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","remain at or above 5 per cent up to Q2: 2020-21, before moderating to 3.2 per cent in"
"25902","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Q3."
"25903","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","67.    Domestic economic activity has remained weak with GDP growth estimated at"
"25904","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","5.0 per cent for 2019-20 being the lowest in last 11 years. Some of the major factors"
"25905","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","that have contributed to the growth slowdown are (i) ongoing deleveraging by the"
"25906","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","private corporate sector; (ii) continuing large inventory overhang in the residential real"
"25907","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","estate market; (iii) issues facing the auto sector; (iv) decline in income levels in rural"
"25908","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","areas due to low food prices in previous two years and deceleration in the growth of"
"25909","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","wages of agriculture and non-agricultural labourers; and (v) global uncertainties,"
"25910","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","especially trade tensions. All these factors have reduced aggregate demand by"
"25911","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","impacting investment and private consumption."
"25912","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","68.    Some high frequency indicators such as consumer non-durables, tractor sales,"
"25913","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","port freight traffic, cement production and steel consumption have turned around in"
"25914","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","recent months. The index of industrial production (IIP) expanded in November 2019"
"25915","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","despite contraction in the auto sector as well as eight core industries. Eight core"
"25916","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","industries, with a weight of 40 per cent in the IIP, also expanded in December. These"
"25917","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","are positive signs, though more data are needed to assess whether they are"
"25918","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","sustained. Several other indicators such as sales in commercial vehicles, passenger"
"25919","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","cars and motor cycles, and international air freight traffic have continued to contract."
"25920","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Credit flows continue to be tepid, though they are improving."
"25921","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","69.    Overall, demand conditions remain weak. This is reflected in a variety of"
"25922","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","indicators such as non-oil non-gold imports, capacity utilisation in the manufacturing"
"25923","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","sector much below the long-term average even when there is hardly any addition of"
"25924","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","new capacities, and weak pricing power of corporates. Consumer confidence is also"
"25925","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","low."
"25926","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","70.    Going forward, the recent rise in food prices should boost rural incomes and"
"25927","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","help strengthen rural demand. The stress in the auto sector seems to be gradually"
"25928","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","receding. The inventory overhang in the real estate sector remains high and it will"
"25929","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","take time before it comes to normal levels. The real estate sector has huge forward"
"25930","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","and backward linkages and it is critical for reviving growth. Though global"
"25931","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","uncertainties relating to trade tensions and Brexit have abated, a new uncertainty"
"25932","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25933","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","                                           15"
"25934","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25935","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","from coronavirus has arisen. It is expected that epidemic of coronavirus will be"
"25936","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","overcome soon. However, should it prolong and spread, it will have ramifications for"
"25937","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","the global economy and its net impact on the Indian economy might be negative even"
"25938","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","if oil and other global commodity prices decline."
"25939","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","71.    The impact of monetary easing undertaken since February 2019 continues to"
"25940","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","unfold. Monetary transmission has strengthened in recent months and it is expected"
"25941","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","to be reinforced further as existing loans are repriced at reduced interest rates."
"25942","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","72.    While current low growth is the outcome of deficient demand, high inflation is"
"25943","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","an upshot of a supply shock. These conflicting dynamics pose a challenge for"
"25944","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","monetary policy. Weak demand conditions warrant further monetary policy easing,"
"25945","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","while elevated inflation and the highly uncertain inflation outlook call for a cautious"
"25946","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","approach. More data are needed for greater clarity. Hence, I vote for keeping the"
"25947","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","policy repo rate on hold at the current level and for persevering with the"
"25948","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","accommodative stance. There is policy space, which could be used once the inflation"
"25949","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","outlook becomes clear. In a scenario of slowdown in growth, monetary policy has a"
"25950","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","role to boost aggregate demand consistent with the inflation objective. However, for"
"25951","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","strengthening the medium-term growth potential of the economy, the need is to step"
"25952","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","up investment and improve productivity through further structural reforms. In this"
"25953","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","context, corporate tax cuts announced in September 2019 and higher budgeted"
"25954","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","capital outlay for 2020-21 compared with the previous year bode well for"
"25955","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","strengthening India’s medium-term growth potential."
"25956","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25957","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020",""
"25958","Minutes of the Monetary Policy Committee Meeting February 4 to 6, 2020","Statement by Dr. Michael Debabrata Patra"
